Date,Open (EUR),Open (USD),High (EUR),High (USD),Low (EUR),Low (USD),Close (EUR),Close (USD),Volume,Market Cap (USD)
2023-10-11,25560.45998400,27390.12000000,25641.90034800,27477.39000000,24765.87751200,26538.66000000,25080.23526400,26875.52000000,37349.44706000,37349.44706000
2023-10-10,25747.09998400,27590.12000000,25882.30200000,27735.00000000,25474.49360000,27298.00000000,25560.45998400,27390.12000000,22776.84383000,22776.84383000
2023-10-09,26052.20039200,27917.06000000,26118.33627600,27987.93000000,25439.03200000,27260.00000000,25747.09998400,27590.12000000,31534.74639000,31534.74639000
2023-10-08,26089.16444400,27956.67000000,26218.38464800,28095.14000000,25837.97500000,27687.50000000,26052.19106000,27917.05000000,19693.56921000,19693.56921000
2023-10-07,26065.30252000,27931.10000000,26157.28804400,28029.67000000,25982.22905600,27842.08000000,26089.16444400,27956.67000000,13348.83825000,13348.83825000
2023-10-06,25579.37594800,27410.39000000,26404.89400000,28295.00000000,25360.58720800,27175.94000000,26065.29318800,27931.09000000,37983.24277000,37983.24277000
2023-10-05,25922.96152400,27778.57000000,26241.94794800,28120.39000000,25524.88640000,27352.00000000,25579.37594800,27410.39000000,30681.49619000,30681.49619000
2023-10-04,25594.36314000,27426.45000000,25980.02670400,27839.72000000,25384.90640000,27202.00000000,25922.96152400,27778.57000000,29816.14200000,29816.14200000
2023-10-03,25657.87673200,27494.51000000,25827.72846400,27676.52000000,25346.17860000,27160.50000000,25594.37247200,27426.46000000,28928.96555000,28928.96555000
2023-10-02,26122.67565600,27992.58000000,26670.85600000,28580.00000000,25459.03980800,27281.44000000,25657.87673200,27494.51000000,57071.14241000,57071.14241000
2023-10-01,25161.47032400,26962.57000000,26190.73393200,28065.51000000,25153.55678800,26954.09000000,26122.66632400,27992.57000000,24602.81468000,24602.81468000
2023-09-30,25109.57507200,26906.96000000,25285.04466800,27094.99000000,25090.30449200,26886.31000000,25161.46099200,26962.56000000,12804.62307000,12804.62307000
2023-09-29,25216.36114800,27021.39000000,25424.93134800,27244.89000000,24883.92731200,26665.16000000,25109.57507200,26906.96000000,28478.76219000,28478.76219000
2023-09-28,24611.28360000,26373.00000000,25484.27353600,27308.48000000,24582.72768000,26342.40000000,25216.36114800,27021.39000000,44517.83491000,44517.83491000
2023-09-27,24470.07177600,26221.68000000,25056.42000000,26850.00000000,24367.77439200,26112.06000000,24611.27426800,26372.99000000,34771.57978000,34771.57978000
2023-09-26,24547.63936000,26304.80000000,24634.10967200,26397.46000000,24345.63888800,26088.34000000,24470.06244400,26221.67000000,18495.35066000,18495.35066000
2023-09-25,24494.99754800,26248.39000000,24679.54718000,26446.15000000,24254.29727200,25990.46000000,24547.64869200,26304.81000000,26266.20390000,26266.20390000
2023-09-24,24800.69520400,26575.97000000,24952.40552800,26738.54000000,24377.12505600,26122.08000000,24494.98821600,26248.38000000,15706.65771000,15706.65771000
2023-09-23,24804.58664800,26580.14000000,24853.73829200,26632.81000000,24738.19880000,26509.00000000,24800.68587200,26575.96000000,9440.70260000,9440.70260000
2023-09-22,24793.33225600,26568.08000000,24956.92221600,26743.38000000,24700.65616400,26468.77000000,24804.58664800,26580.14000000,18198.22920000,18198.22920000
2023-09-21,25313.05933200,27125.01000000,25345.33872000,27159.60000000,24615.66964000,26377.70000000,24793.33225600,26568.08000000,34476.82662000,34476.82662000
2023-09-20,25392.60530000,27210.25000000,25559.06951600,27388.63000000,25009.76000000,26800.00000000,25313.05000000,27125.00000000,34207.21867000,34207.21867000
2023-09-19,24974.76500000,26762.50000000,25647.66752400,27483.57000000,24886.38162800,26667.79000000,25392.61463200,27210.26000000,36190.52187000,36190.52187000
2023-09-18,24755.46300000,26527.50000000,25578.07880000,27409.00000000,24615.34302000,26377.35000000,24974.77433200,26762.51000000,43000.43256000,43000.43256000
2023-09-17,24785.48404400,26559.67000000,24844.81690000,26623.25000000,24635.54680000,26399.00000000,24755.47233200,26527.51000000,12998.10277000,12998.10277000
2023-09-16,24823.11066800,26599.99000000,24988.29640000,26777.00000000,24678.47400000,26445.00000000,24785.48404400,26559.67000000,13960.93351000,13960.93351000
2023-09-15,24751.01163600,26522.73000000,25091.88160000,26888.00000000,24472.23680000,26224.00000000,24823.12000000,26600.00000000,26227.29369000,26227.29369000
